week_start_date,dept_id,dept_sales,total_sales,dept_share,prev_week_sales,prev_week_share,wow_sales_change,wow_sales_change_pct,wow_share_change
2010-05-31,31,12547.42,5287093.82,0.002373217,11451.08,0.002273816,1096.34,0.095741188,0.000099401
2010-05-31,79,48874.29,5287093.82,0.009244075,151593.72,0.030101633,-102719.43,-0.677596869,-0.020857558
2010-05-31,81,55113.83,5287093.82,0.01042422,47762.31,0.009484057,7351.52,0.153918854,0.000940163
2010-05-31,96,50512.37,5287093.82,0.009553901,56117.37,0.011143103,-5605,-0.099879948,-0.001589202
2010-05-31,8,199775.28,5287093.82,0.037785462,205771.44,0.040859584,-5996.16,-0.029139904,-0.003074122
2010-05-31,36,35543.4,5287093.82,0.006722672,24647.5,0.0048942,10895.9,0.442069175,0.001828472
2010-05-31,4,64966.48,5287093.82,0.012287749,123788.43,0.024580397,-58821.95,-0.475181323,-0.012292648
2010-05-31,97,27892.96,5287093.82,0.00527567,68620.34,0.013625791,-40727.38,-0.593517607,-0.008350121
2010-05-31,3,34886.13,5287093.82,0.006598357,38607.66,0.007666238,-3721.53,-0.096393565,-0.001067881
2010-05-31,29,18489.31,5287093.82,0.003497065,7171.02,0.001423934,11318.29,1.578337531,0.002073131
2010-05-31,38,588731.87,5287093.82,0.111352643,207620.07,0.041226662,381111.8,1.83562119,0.070125981
2010-05-31,82,43613.93,5287093.82,0.008249131,89684.71,0.017808496,-46070.78,-0.513697151,-0.009559365
2010-05-31,37,4276.06,5287093.82,0.000808773,8535.63,0.001694901,-4259.57,-0.499034049,-0.000886128
2010-05-31,52,10136.68,5287093.82,0.00191725,9418.87,0.001870284,717.81,0.076209779,0.000046966
2010-05-31,9,180133.24,5287093.82,0.034070369,111070.25,0.022054976,69062.99,0.621795575,0.012015393
2010-05-31,59,3708.48,5287093.82,0.000701421,1278.14,0.000253797,2430.34,1.901466193,0.000447624
2010-05-31,17,41841.84,5287093.82,0.007913958,17292.93,0.003433819,24548.91,1.419592284,0.004480139
2010-05-31,26,54005.81,5287093.82,0.010214649,48255.57,0.009582003,5750.24,0.119162202,0.000632646
2010-05-31,67,37639.69,5287093.82,0.007119164,24775.18,0.004919553,12864.51,0.519249911,0.002199611
2010-05-31,83,12523.81,5287093.82,0.002368751,16039.08,0.003184845,-3515.27,-0.219169055,-0.000816094
2010-05-31,98,23920.14,5287093.82,0.004524251,34865.47,0.00692316,-10945.33,-0.313930373,-0.002398909
2010-05-31,25,103571.33,5287093.82,0.019589463,140339.25,0.027866857,-36767.92,-0.261993134,-0.008277394
2010-05-31,22,48297.8,5287093.82,0.009135037,31460.35,0.006247013,16837.45,0.535195889,0.002888024
2010-05-31,49,2764.43,5287093.82,0.000522864,45892.32,0.009112737,-43127.89,-0.939762688,-0.008589873
2010-05-31,90,45953.42,5287093.82,0.008691622,168643.6,0.03348719,-122690.18,-0.727511628,-0.024795568
2010-05-31,24,20006.54,5287093.82,0.003784033,54622.14,0.010846199,-34615.6,-0.633728375,-0.007062166
2010-05-31,34,49852.09,5287093.82,0.009429016,83373.22,0.016555238,-33521.13,-0.402061117,-0.007126222
2010-05-31,18,-2.5,5287093.82,-0.000000473,-2.03,-0.000000403,-0.47,0.231527094,-0.00000007
2010-05-31,50,6685,5287093.82,0.0012644,1375,0.000273031,5310,3.861818182,0.000991369
2010-05-31,94,95738.91,5287093.82,0.018108041,13.04,0.000002589,95725.87,7340.94095092,0.018105452
2010-05-31,11,57547.54,5287093.82,0.010884532,124395.1,0.024700863,-66847.56,-0.537380974,-0.013816331
2010-05-31,16,203096.01,5287093.82,0.038413544,193735.26,0.038469586,9360.75,0.048317224,-0.000056042
2010-05-31,54,1075.5,5287093.82,0.00020342,745,0.000147933,330.5,0.443624161,0.000055487
2010-05-31,10,123872.57,5287093.82,0.023429236,85546.32,0.016986745,38326.25,0.448017518,0.006442491
2010-05-31,14,74561.27,5287093.82,0.014102506,41585.05,0.008257452,32976.22,0.792982574,0.005845054
2010-05-31,28,3822.17,5287093.82,0.000722925,193.98,0.000038518,3628.19,18.70393855,0.000684407
2010-05-31,5,131566.07,5287093.82,0.024884383,65923.79,0.013090343,65642.28,0.995729766,0.01179404
2010-05-31,41,718.54,5287093.82,0.000135905,3300.16,0.000655306,-2581.62,-0.782271163,-0.000519401
2010-05-31,42,19271.1,5287093.82,0.003644932,14939.77,0.002966557,4331.33,0.289919457,0.000678375
2010-05-31,45,70.71,5287093.82,0.000013374,24.66,0.000004897,46.05,1.867396594,0.000008477
2010-05-31,44,15034.5,5287093.82,0.002843623,23752.3,0.004716442,-8717.8,-0.367029719,-0.001872819
2010-05-31,85,16714.56,5287093.82,0.003161389,8641.36,0.001715896,8073.2,0.93425109,0.001445493
2010-05-31,51,101.81,5287093.82,0.000019256,154.07,0.000030593,-52.26,-0.339196469,-0.000011337
2010-05-31,56,68814.03,5287093.82,0.013015474,49150.85,0.009759777,19663.18,0.400057781,0.003255697
2010-05-31,13,155087.57,5287093.82,0.029333236,139175.68,0.02763581,15911.89,0.114329529,0.001697426
2010-05-31,46,104086.26,5287093.82,0.019686857,174666.91,0.034683226,-70580.65,-0.404087128,-0.014996369
2010-05-31,60,2420,5287093.82,0.000457718,1240.8,0.000246383,1179.2,0.95035461,0.000211335
2010-05-31,80,54612.19,5287093.82,0.01032934,38070.7,0.007559616,16541.49,0.434493981,0.002769724
2010-05-31,95,218989.49,5287093.82,0.041419634,372080.71,0.073883252,-153091.22,-0.411446269,-0.032463618
2010-05-31,93,116330.84,5287093.82,0.022002795,104734.64,0.020796928,11596.2,0.110719815,0.001205867
2010-05-31,33,13439.6,5287093.82,0.002541964,37627.84,0.007471678,-24188.24,-0.642828289,-0.004929714
2010-05-31,19,4124.66,5287093.82,0.000780137,3012.19,0.000598124,1112.47,0.369322652,0.000182013
2010-05-31,72,269964.2,5287093.82,0.051060982,115341.22,0.022903053,154622.98,1.340570006,0.028157929
2010-05-31,91,103790.16,5287093.82,0.019630853,44753.6,0.008886624,59036.56,1.319146616,0.010744229
2010-05-31,20,45560.12,5287093.82,0.008617233,61280.15,0.012168265,-15720.03,-0.256527277,-0.003551032
2010-05-31,71,11704.07,5287093.82,0.002213706,7077.04,0.001405272,4627.03,0.653808654,0.000808434
2010-05-31,21,24827.91,5287093.82,0.004695947,45934.77,0.009121167,-21106.86,-0.459496368,-0.00442522
2010-05-31,23,88299.71,5287093.82,0.016700992,121324.75,0.02409119,-33025.04,-0.272203652,-0.007390198
2010-05-31,40,297519.45,5287093.82,0.056272777,335106.42,0.066541348,-37586.97,-0.112164279,-0.010268571
2010-05-31,35,5146.04,5287093.82,0.000973321,9915,0.0019688,-4768.96,-0.480984367,-0.000995479
2010-05-31,92,297420.14,5287093.82,0.056253993,479290.03,0.095171571,-181869.89,-0.37945686,-0.038917578
2010-05-31,12,45985.16,5287093.82,0.008697625,27674.31,0.005495227,18310.85,0.66165516,0.003202398
2010-05-31,30,19686.47,5287093.82,0.003723495,9165.64,0.001820001,10520.83,1.147855469,0.001903494
2010-05-31,2,114782.25,5287093.82,0.021709895,66517.85,0.013208304,48264.4,0.725585689,0.008501591
2010-05-31,7,375829.06,5287093.82,0.071084243,7285.55,0.001446676,368543.51,50.585543988,0.069637567
2010-05-31,78,12,5287093.82,0.00000227,15,0.00000265,-3,-0.2,-0.00000038
