store_id,dept_id,avg_holdiay_sales,avg_non_holiday_sales,holiday_delta,holiday_lift_pct,total_holiday_sales,total_non_holiday_sales,holiday_weeks,non_holiday_weeks
1,4,43379.58,37651.746666667,5727.833333333,0.15212663,130138.74,564776.2,3,15
2,55,15156.086666667,10916.655454545,4239.431212122,0.388345243,45468.26,120083.21,3,11
3,10,9727.07,11200.471034483,-1473.401034483,-0.131548131,29181.21,324813.66,3,29
5,12,1886.895,2583.147142857,-696.252142857,-0.269536385,3773.79,36164.06,2,14
5,82,4086.99,3613.710625,473.279375,0.130967702,8173.98,57819.37,2,16
6,94,,42157.336363636,,,0,463730.7,0,11
8,33,3508.78,5151.234193548,-1642.454193548,-0.318846733,3508.78,159688.26,1,31
12,54,,121.05,,,0,1936.8,0,16
15,59,,335.867142857,,,0,4702.14,0,14
16,79,5897.835,5581.398571429,316.436428571,0.056694827,11795.67,117209.37,2,21
17,92,,53616.73952381,,,0,1125951.53,0,21
20,74,,20978.744,,,0,419574.88,0,20
22,94,,502.596666667,,,0,7538.95,0,15
26,29,2798.91,3146.815,-347.905,-0.110557818,2798.91,31468.15,1,10
29,72,20230.62,28872.697777778,-8642.077777778,-0.299316602,20230.62,519708.56,1,18
31,11,10954.236666667,11501.623684211,-547.387017544,-0.047592152,32862.71,218530.85,3,19
31,97,25196.48,31189.642727273,-5993.162727273,-0.192152337,50392.96,686172.14,2,22
37,82,5316.1,4960.06,356.04,0.07178139,5316.1,64480.78,1,13
39,22,15045.935,13691.003,1354.932,0.098965138,30091.87,136910.03,2,10
41,24,5000.78,5068.185,-67.405,-0.013299633,5000.78,81090.96,1,16
41,6,,4167.275333333,,,0,62509.13,0,15
42,67,1769.74,1085.33952381,684.40047619,0.630586523,3539.48,22792.13,2,21
43,3,1000.66,953.054782609,47.605217391,0.049950137,1000.66,21920.26,1,23
45,25,13794.99,8523.833636364,5271.156363636,0.61840207,13794.99,187524.34,1,22
45,35,2353.09,2736.047857143,-382.957857143,-0.139967529,7059.27,38304.67,3,14
1,25,10619.35,10680.449090909,-61.099090909,-0.005720648,21238.7,117484.94,2,11
3,25,2254.34,4506.249,-2251.909,-0.499730263,2254.34,45062.49,1,10
4,22,,17095.7075,,,0,273531.32,0,16
6,34,17329.945,18700.042142857,-1370.097142857,-0.073267062,34659.89,261800.59,2,14
7,52,987.145,1194.074285714,-206.929285714,-0.173296828,1974.29,16717.04,2,14
7,83,806.36,516.9348,289.4252,0.559887243,806.36,12923.37,1,25
8,52,2340.29,1688.251666667,652.038333333,0.386221051,2340.29,20259.02,1,12
8,7,,16962.336666667,,,0,254435.05,0,15
9,28,287,232.260909091,54.739090909,0.23567931,287,2554.87,1,11
9,12,5436.53,6965.875384615,-1529.345384615,-0.219548197,16309.59,90556.38,3,13
12,1,15114.43,19291.282941176,-4176.852941176,-0.216515042,15114.43,327951.81,1,17
12,93,677.48,605.138095238,72.341904762,0.119546109,677.48,12707.9,1,21
13,44,24266.53,10017.932777778,14248.597222222,1.422309127,24266.53,180322.79,1,18
13,54,113.42,93.454117647,19.965882353,0.213643688,226.84,1588.72,2,17
14,59,,566.35125,,,0,9061.62,0,16
17,46,27031.665,25653.541666667,1378.123333333,0.053720588,54063.33,461763.75,2,18
18,20,6242.05,7559.85,-1317.8,-0.174315628,6242.05,90718.2,1,12
18,59,224.12,352.289444444,-128.169444444,-0.363818577,448.24,6341.21,2,18
20,81,,32423.504285714,,,0,680893.59,0,21
25,34,8955.915,11438.382352941,-2482.467352941,-0.217029583,17911.83,194452.5,2,17
26,82,14039.17,13093.936,945.234,0.072188683,28078.34,196409.04,2,15
27,41,2546.1275,2459.592222222,86.535277778,0.035182774,10184.51,44272.66,4,18
29,21,,3416.410833333,,,0,40996.93,0,12
29,97,1748.23,2072.945263158,-324.715263158,-0.156644398,1748.23,39385.96,1,19
29,32,3384.04,3770.94,-386.9,-0.102600413,3384.04,41480.34,1,11
29,9,10135.62,11944.605217391,-1808.985217391,-0.151447887,10135.62,274725.92,1,23
30,81,11692.01,11336.234,355.776,0.031383968,23384.02,170043.51,2,15
36,83,,3263.953913043,,,0,75070.94,0,23
39,21,7359.46,7499.194761905,-139.734761905,-0.018633302,7359.46,157483.09,1,21
40,21,6057.37,6489.89125,-432.52125,-0.066645377,6057.37,51919.13,1,8
41,3,11069.67,17585.685789474,-6516.015789474,-0.370529524,11069.67,334128.03,1,19
41,34,7222.57,12933.563684211,-5710.993684211,-0.441563812,7222.57,245737.71,1,19
6,19,,2183.562857143,,,0,30569.88,0,14
8,94,,24541.475,,,0,441746.55,0,18
14,6,4924.885,7891.8325,-2966.9475,-0.375951656,9849.77,94701.99,2,12
15,21,3627.075,3087.334615385,539.740384615,0.174824064,7254.15,40135.35,2,13
16,13,15624.07,15698.796428571,-74.726428571,-0.00476001,15624.07,219783.15,1,14
16,46,10970.69,13585.177647059,-2614.487647059,-0.192451488,10970.69,230948.02,1,17
21,23,42258.56,35755.17,6503.39,0.181886703,42258.56,643593.06,1,18
22,21,6340.46,5720.185714286,620.274285714,0.10843604,12680.92,80082.6,2,14
22,93,,2249.166428571,,,0,31488.33,0,14
25,49,8000.69,11086.055294118,-3085.365294118,-0.278310473,8000.69,188462.94,1,17
26,85,2341.04,1558.932727273,782.107272727,0.501694049,2341.04,17148.26,1,11
30,32,41.915,42.032142857,-0.117142857,-0.002786983,83.83,588.45,2,14
32,3,,17353.485652174,,,0,399130.17,0,23
35,46,12595.19,16275.155217391,-3679.965217391,-0.226109378,12595.19,374328.57,1,23
40,18,15.94,8661.278666667,-8645.338666667,-0.998159625,15.94,129919.18,1,15
42,16,1029.405,1149.02125,-119.61625,-0.104102731,2058.81,9192.17,2,8
4,82,31219.46,29327.343333333,1892.116666667,0.064517152,62438.92,527892.18,2,18
7,93,1370.035,1350.614117647,19.420882353,0.014379298,2740.07,22960.44,2,17
11,90,52624.86,49214.188571429,3410.671428571,0.069302604,105249.72,688998.64,2,14
12,80,15.08,44.942666667,-29.862666667,-0.664461388,15.08,674.14,1,15
13,82,28708.16,36451.611333333,-7743.451333333,-0.212430975,57416.32,546774.17,2,15
15,87,11380.07,8975.63875,2404.43125,0.267884138,22760.14,71805.11,2,8
16,7,17025.57,13250.20625,3775.36375,0.284928678,17025.57,212003.3,1,16
21,49,6296.54,10312.724705882,-4016.184705882,-0.389439728,6296.54,175316.32,1,17
22,92,36828.9,51039.9325,-14211.0325,-0.278429688,36828.9,612479.19,1,12
25,16,7726.095,19914.913571429,-12188.818571429,-0.612044764,15452.19,278808.79,2,14
31,98,10755.26,10065.727647059,689.532352941,0.068502981,21510.52,171117.37,2,17
32,56,482.9,5270.564705882,-4787.664705882,-0.908377939,482.9,89599.6,1,17
37,38,,69965.091904762,,,0,1469266.93,0,21
39,56,,3921.950714286,,,0,54907.31,0,14
39,44,4100.425,4207.055882353,-106.630882353,-0.025345725,8200.85,71519.95,2,17
40,80,,15793.430666667,,,0,236901.46,0,15
40,97,16425.92,17757.580666667,-1331.660666667,-0.074991109,16425.92,266363.71,1,15
42,3,658.1,866.443478261,-208.343478261,-0.240458245,658.1,19928.2,1,23
45,16,2458.82,22496.011333333,-20037.191333333,-0.890699735,2458.82,337440.17,1,15
10,10,,47319.7545,,,0,946395.09,0,20
10,81,8006.4,10544.683333333,-2538.283333333,-0.240716886,16012.8,189804.3,2,18
11,45,23.506666667,14.288235294,9.218431373,0.645176341,70.52,242.9,3,17
13,56,1921.34,5455.3732,-3534.0332,-0.64780778,1921.34,136384.33,1,25
23,72,347680.08,90364.5115,257315.5685,2.847529016,347680.08,1807290.23,1,20
32,83,3924.923333333,3877.97,46.953333333,0.012107709,11774.77,46535.64,3,12
32,33,,3481.908421053,,,0,66156.26,0,19
34,23,12019.68,13438.015555556,-1418.335555556,-0.105546503,12019.68,241884.28,1,18
38,93,,19018.945263158,,,0,361359.96,0,19
39,19,,7.55,,,0,37.75,0,5
39,59,616.28,572.220625,44.059375,0.076997181,1232.56,9155.53,2,16
43,52,24.24,34.63,-10.39,-0.300028877,24.24,588.71,1,17
45,41,,2472.945,,,0,49458.9,0,20
12,79,46772.78,44085.825625,2686.954375,0.06094826,93545.56,705373.21,2,16
18,9,9443.71,18190.057647059,-8746.347647059,-0.480831222,9443.71,309230.98,1,17
19,33,9252.27,5662.034666667,3590.235333333,0.634089253,18504.54,84930.52,2,15
20,16,14294.06,15222.091,-928.031,-0.060966066,14294.06,304441.82,1,20
21,35,3196,2571.324285714,624.675714286,0.242939297,3196,35998.54,1,14
21,9,12960.715,15065.048571429,-2104.333571429,-0.139683159,25921.43,210910.68,2,14
24,13,24207.2,29478.999444444,-5271.799444444,-0.178832374,24207.2,530621.99,1,18
25,85,3186.985,3503.032727273,-316.047727273,-0.090221175,6373.97,77066.72,2,22
27,18,11904.17,8564.576470588,3339.593529412,0.38993096,35712.51,145597.8,3,17
33,11,221.4,176.285263158,45.114736842,0.255918935,442.8,3349.42,2,19
40,91,34750.08,40988.447857143,-6238.367857143,-0.152198197,34750.08,573838.27,1,14
45,98,,606.717777778,,,0,10920.92,0,18
8,28,522.21,300.391666667,221.818333333,0.738430383,522.21,5407.05,1,18
17,26,,7206.753636364,,,0,158548.58,0,22
18,67,5750.14,8000.461176471,-2250.321176471,-0.281273932,11500.28,136007.84,2,17
22,14,16443.1,16198.389047619,244.710952381,0.015107117,49329.3,340166.17,3,21
23,35,3243.715,5911.449285714,-2667.734285714,-0.451282614,6487.43,82760.29,2,14
31,45,,13.126666667,,,0,39.38,0,3
34,45,,9.679,,,0,96.79,0,10
36,4,10840.053333333,10276.102,563.951333333,0.054879889,32520.16,154141.53,3,15
39,97,23436.95,24091.5395,-654.5895,-0.027170929,23436.95,481830.79,1,20
43,31,,20.93,,,0,209.3,0,10
3,4,,8467.754285714,,,0,118548.56,0,14
